time, A, B ,C, A, B, C
2019-09-15 12:00:07, 1.516, 1.452, 1.594, 219.94, 220.1, 221.23
2019-09-15 12:00:22, 1.442, 1.421, 1.496, 218.64, 218.56, 219.77
2019-09-15 12:00:37, 1.773, 1.662, 1.774, 217.96, 218.31, 217.38
2019-09-15 12:00:52, 1.421, 1.249, 1.445, 219.21, 219.95, 217.69
2019-09-15 12:01:07, 1.302, 1.223, 1.428, 218.7, 219.55, 220.87
2019-09-15 12:01:22, 1.447, 1.332, 1.457, 218.89, 220.29, 218.48
2019-09-15 12:01:37, 1.351, 1.287, 1.397, 219.29, 219.29, 219.06
2019-09-15 12:01:52, 1.316, 1.2, 1.325, 219.92, 219.31, 219.29
2019-09-15 12:02:07, 1.405, 1.272, 1.379, 218.85, 219.9, 218.52
2019-09-15 12:02:22, 1.259, 1.038, 1.302, 221.03, 220.68, 216.98
2019-09-15 12:02:37, 1.257, 1.192, 1.253, 218.02, 220.3, 219.63
2019-09-15 12:02:52, 1.361, 1.265, 1.375, 219.03, 219.58, 219.77
2019-09-15 12:03:07, 1.366, 1.286, 1.411, 220.04, 219.69, 219.75
2019-09-15 12:03:22, 1.351, 1.225, 1.383, 219.36, 219.21, 218.9
2019-09-15 12:03:37, 1.254, 1.156, 1.27, 220.11, 219.58, 219.34
2019-09-15 12:03:52, 1.45, 1.289, 1.372, 219.17, 220.74, 218.7
2019-09-15 12:04:07, 1.234, 1.135, 1.254, 220.57, 219.46, 219.12
2019-09-15 12:04:22, 1.333, 1.245, 1.336, 219.72, 219.05, 218.69
2019-09-15 12:04:37, 1.324, 1.35, 1.49, 221.26, 216.13, 218.12
2019-09-15 12:05:07, 1.367, 1.323, 1.417, 219.15, 219.01, 219.71
2019-09-15 12:05:22, 1.424, 1.407, 1.503, 219.11, 219.1, 220.55
2019-09-15 12:05:37, 1.551, 1.455, 1.609, 220.06, 219.97, 219.31
2019-09-15 12:05:52, 1.462, 1.449, 1.514, 218.83, 219.1, 220.93
2019-09-15 12:06:07, 1.524, 1.494, 1.565, 217.48, 219.08, 219.74
2019-09-15 12:06:22, 1.502, 1.492, 1.544, 218.63, 218.8, 220.32
2019-09-15 12:06:37, 1.586, 1.439, 1.681, 220.1, 220.86, 219.84
2019-09-15 12:06:52, 1.743, 1.675, 1.815, 218.68, 218.9, 218.49
2019-09-15 12:07:07, 1.592, 1.521, 1.66, 218.86, 218.3, 219.82
2019-09-15 12:07:22, 1.617, 1.738, 1.73, 233.47, 232.29, 238.32
2019-09-15 12:07:37, 1.766, 1.76, 1.694, 229.71, 235.64, 237.35
2019-09-15 12:07:52, 1.892, 1.905, 1.894, 231.22, 234.23, 236.12
2019-09-15 12:08:07, 1.685, 1.712, 1.712, 231.94, 233.89, 236.56
2019-09-15 12:08:22, 1.625, 1.664, 1.688, 231.86, 233.79, 236.97
2019-09-15 12:08:37, 1.865, 1.923, 1.901, 232.05, 233.29, 236.52
2019-09-15 12:08:52, 1.774, 1.799, 1.829, 232.33, 233.68, 236.08
2019-09-15 12:09:07, 1.913, 1.886, 1.905, 231.49, 235.12, 235.12
2019-09-15 12:09:22, 1.893, 1.837, 1.875, 231.85, 234.87, 234.77
2019-09-15 12:09:37, 1.867, 1.872, 1.904, 232.41, 233.98, 235.6
2019-09-15 12:09:52, 1.941, 1.959, 1.99, 232.82, 233.6, 235.49
2019-09-15 12:10:07, 1.846, 1.865, 1.914, 232.99, 233.54, 235.63
2019-09-15 12:10:22, 1.971, 2.002, 2.012, 232.37, 233.56, 235.57
2019-09-15 12:10:37, 1.611, 1.575, 1.646, 232.79, 234.26, 235.34
2019-09-15 12:10:52, 1.734, 1.724, 1.79, 232.41, 233.93, 235.73
2019-09-15 12:11:07, 1.567, 1.442, 1.503, 231.76, 236.68, 234.59
2019-09-15 12:11:22, 1.372, 1.379, 1.421, 233.0, 234.22, 236.48
2019-09-15 12:11:37, 2.076, 2.005, 2.073, 230.94, 233.11, 233.55
2019-09-15 12:11:52, 1.754, 1.71, 1.799, 232.43, 234.0, 234.74
2019-09-15 12:12:07, 1.92, 2.023, 1.952, 230.85, 232.14, 236.72
2019-09-15 12:12:22, 1.965, 1.973, 1.88, 229.29, 234.22, 235.78
2019-09-15 12:12:37, 1.816, 1.68, 1.728, 230.71, 235.93, 233.59
2019-09-15 12:12:52, 1.676, 1.617, 1.631, 231.57, 234.3, 234.61
2019-09-15 12:13:07, 1.572, 1.539, 1.592, 232.12, 233.46, 234.41
2019-09-15 12:13:22, 1.519, 1.516, 1.529, 231.82, 233.12, 235.38
2019-09-15 12:13:37, 1.637, 1.599, 1.639, 232.02, 233.14, 234.43
2019-09-15 12:13:52, 1.717, 1.709, 1.703, 230.56, 233.48, 235.14
2019-09-15 12:14:07, 1.575, 1.544, 1.579, 231.6, 233.48, 234.04
2019-09-15 12:14:22, 1.612, 1.623, 1.568, 229.35, 234.02, 234.94
2019-09-15 12:14:37, 1.6, 1.592, 1.62, 231.54, 233.05, 234.29
2019-09-15 12:14:52, 1.559, 1.537, 1.56, 231.27, 233.56, 234.24
2019-09-15 12:15:07, 1.522, 1.5, 1.491, 230.13, 234.04, 234.35
2019-09-15 12:15:22, 1.73, 1.814, 1.722, 230.13, 232.5, 236.46
2019-09-15 12:15:37, 1.668, 1.782, 1.69, 230.75, 232.28, 237.09
